id,context,question,answer0,answer1,answer2,answer3,label
3Q9SPIIRWJKVQ8244310E8TUS6YWAC##34V1S5K3GTZMDUBNBIGY93FLDOB690##A1S1K7134S2VUC##Blog_1044056##q1_a1##3XU9MCX6VQQG7YPLCSAFDPQNH4GR20,"Good Old War and person L : I saw both of these bands Wednesday night , and they both blew me away . seriously . Good Old War is acoustic and makes me smile . I really can not help but be happy when I listen to them ; I think it 's the fact that they seemed so happy themselves when they played .","In the future , will this person go to see other bands play ?",None of the above choices .,"This person likes music and likes to see the show , they will see other bands play .","This person only likes Good Old War and Person L , no other bands .",Other Bands is not on tour and this person can not see them .,1
3E24UO25QZOMYXHZN4TEH9EMT9GO6L##3UN61F00HXNWYQ7V0G6F8I1FMXXR5I##AO33H4GL9KZX9##Blog_292639##q1_a1##375VMB7D4LXQH9KIJU0NVGG0RV5ID7,"I mean it : not one person said ANYTHING to me . They would have if I did something wrong , right ? But , this morning , I got a call from my guy at the temp agency and he said that I was no longer needed in that position , that I did n't need to go out there .",Why might have the temp agency tell me I am not needed at that position ?,The company hiring the temp workers might have had a change of mind .,The temp agency hiring the temp workers might have had a change of mind .,None of the above choices .,I might have had a change of mind working for the company .,0
3M4KL7H8KVL125AYH2V35D1E0A016T##3SB5N7Y3O426ETCGNZ6RSJRH4ZY0G0##AJ7NSZOAFP05U##Blog_254278##q1_a1##3IH9TRB0FDDWPE4631GSUEFR22K1IQ,Leaving my shift Thursday day shift I arrived the same time as my partner just after six that evening and before long the radio erupted in dispatch tones . A car fleeing the police has crashed and landed on its roof with four separate people entrapped inside . Our medic unit is dispatched along with multiple other ambulances and Rescue Companies .,What may have caused the radio to erupt with dispatch tones ?,My partner needed a medic unit .,Someone was running from the ambulances after they got into a wreck .,None of the above choices .,Someone was running from the cops and got into a wreck .,3
3D5G8J4N5CI2K40F4RZLF9OG2L4VTJ##34MAJL3QP721EUH0VIY9DQGUNNO34F##A2KYOM2ZGYDJGT##Blog_536416##q1_a1##3LAZVA75NK5DALX5K0TBJULI6KY2OA,"So , last day in Seattle , and my flight was at 1:30 . I got to chit chat with my old manager ( more like a mentor ) , and left Seattle feeling really good and inspired . .",Why did I chit chat with my old manager ?,Because my flight was at 1:30 .,Because I left Seattle feeling really good and inspired .,Because it 's my last day in Seattle .,Because I enjoy talking to him .,3
3MQKOF1EE428I44N8B42W7P86DKDW4##3NJM2BJS4ZLBGNZ2MV1Y9RVJLN5PCH##A2KYOM2ZGYDJGT##Blog_778772##q1_a1##3PCPFX4U4240WRMXN80MSIA8V4WFQN,"Ms. Mumma informed Mr. Dail that evidence had been found in his case . "" I fell out of my chair and burst into tears . Evidence meant I was going home , and I knew that , "" said Mr. Dail . He immediately told Ms. Mumma , "" Test anything and everything you can find .",Why did I burst into tears ?,Because Ms. Mumma was informative .,Because I had an intense emotional response to the new development .,Because Mr. Dail was informed .,Because I fell out of my chair .,1
341H3G5YF0C3JQ9RNOOEO6BZ01T0ZC##3TU5ZICBREZF97BXLZOIFC11QLW8Q2##A2KYOM2ZGYDJGT##Blog_362252##q1_a1##3N3WJQXELU4540U878DJRDHOB2D2LN,"A while later I tried the car again and lo and behold it does n't start at all , so a tow truck was called , and I chatted with Ellen ( who was n't in class after all ) while I waited . My dad came and got me from the body shop . The End . ( Where the hell did my freaking cow go ?",What is n't working properly ?,None of the above choices .,The cow,The tow truck,The body shop,0
3CMIQF80GNOPJ9UF2HLI6E9M8FM6Q9##3RKNTXVS3NWM3QHEK01J806RNPS4AH##A2KYOM2ZGYDJGT##Blog_247332##q1_a1##3BDORL6HKMRT5GHN9LZLP2Z9TTYCRV,"Until we went to a playdate two weeks ago . Thea 's mom is Serbian and crepes are apparently as common in Serbia as they are in France . We discussed the batter , the texture , the cooking process , the topping options and Dee generally brought me up to speed . Being not brave enough to just start throwing ingredients in a bowl as she did , I got a recipe of the internet for general proportions , ended up not using nearly as much water as was called for and successfully made crepes .",Why did they discuss crepes ?,Because Thea 's mom is Serbian .,Because the writer got a recipe from the internet .,Because the writer is interested in learning how to cook crepes .,None of the above choices .,2
3G9UA71JVVSR1M47Q161FRXWPX17J9##3O6CYIULEEZIR1EW0BOT3T1CERNUWL##A1OPGPTQJ48XOY##Blog_334171##q1_a1##3NFWQRSHVGS9J2SJKCVAY465OXJGFI,"Let me be clear , everything is good . Having said that , I ' ve been a little preoccupied lately , as Leslie threw out her back on Sunday . It 's been an interesting , and marriage - solidifying 36 hours . Sunday afternoon , around 2 pm , Leslie and I were hanging in the library , sans kids ( they were with their father ) , listening to music and talking .",How did Leslie 's throwing out of her back help to solidify your marriage ?,Leslie realized that I am really good at taking care of people and wants to keep me around for that reason,Leslie saw that if she ever hurt herself she would need my help to heal and realized that she needs me,None of the above choices .,We were able to spend time together just talking and that helped us to connect better,3
3OLZC0DJ8JDXH1LXQHOH94YZY2IVIG##36H9ULYP63S72ZH7YNAFS3612HNFJI##A1S1K7134S2VUC##Blog_113481##q1_a1##3KLL7H3EGFFCFV9K4XIW1QLSRTOVHS,"WHAT could be in the package ? Something PORNOGRAPHIC , that 's for sure ! I rushed into the house and went to the laundry room , closed the door and pulled the package out of the magazine . I flipped it over , and reread the words on the side . Contains PHOTOGRAPHIC material . Damn .",Why is this person disappointed that they misread the label on the package ?,None of the above choices .,"Pornographic implies something forbidden , this person was exited by the thought .",The person ordered a package of pornographic material and anticipated its arrival .,"The material inside the package contains ordinary pornography , not a magazine .",1
3OLZC0DJ8JDXH1LXQHOH94YZY2IVIG##36H9ULYP63S72ZH7YNAFS3612HNFJI##A1S1K7134S2VUC##Blog_113481##q1_a2##3R5OYNIC2ENPFK3JIFQM9HZYGZITPF,"WHAT could be in the package ? Something PORNOGRAPHIC , that 's for sure ! I rushed into the house and went to the laundry room , closed the door and pulled the package out of the magazine . I flipped it over , and reread the words on the side . Contains PHOTOGRAPHIC material . Damn .",Why is this person disappointed that they misread the label on the package ?,None of the above choices .,"The material inside the package contains ordinary pornography , not a magazine .",The person ordered a package of pornographic material and anticipated its arrival .,"The misread label made the person think the package contains something forbidden , the truth was dull .",3
3MQY1YVHS3IEX29PWXCPLCXB637B2V##386PBUZZXGVT2RR3KYDDNGBLYZNLJE##AJ7NSZOAFP05U##Blog_627768##q1_a1##3ZC62PVYDJO15AEU9G10SX67VPAXXB,"Last night , the roomie and I were both feeling pretty mellow . My week has been over scheduled , and it wore me out and prevented me from working one day . So I did n't make plans for Friday night , much as I wanted to . Instead , we went with our moods . And our moods said , "" hey , why do n't we go out for ice cream , walk to the video store , rent a movie , walk to the firehouse , chat up Fireman Dave and then walk home to watch the movie ? """,What may have been the reason for you and your roommate wanting a mellow night ?,I was n't doing too much work that week .,I was burnt out from too much work .,My roommate was burnt out from too much work .,None of the above choices .,1
3LOJFQ4BOZTHN4A6JXLZ8WVDJZWDKF##3SITXWYCNYOXFR9NUMFKSKB441UXBL##A2KYOM2ZGYDJGT##Blog_302465##q1_a1##35ZRNT9RUKC2V3TOO07G24QACYBO3K,It has been roughly a month since my last post and so understandably a lot has taken place . I finished my time in France with a tough week that left me fatigued and I was more than glad to be returning home . August 12th was when I made my trip from Lyon to Frankfurt to Calgary and finally Edmonton .,Why has it been roughly a month since my last post ?,None of the above choices .,Because a tough week left me fatigued .,Because I finished my time in France .,Because I 've been busy with other things .,3
3RQVKZ7ZRMX6PF563EC988ZNFSP72J##3DIP6YHAPF757TKZW55IDT0WD7ME8F##AJ7NSZOAFP05U##Blog_1096124##q1_a1##34KYK9TV2TMMWQPUAA3V4SYNXA8BS2,"Hi there , Friday 22nd August - I went to the Panic At The Disco concert at Acer Arena . It was really good . I was n't too sure on Panic because I do n't know a lot of songs off their new album , but they played the ones that I knew , and quite a few old ones which I also knew . Apart from the crappy first band , Cobra Starship played first and they were really good .",What may happen if you go the Panic At The Disco concert ?,I would think that it 's pleasant .,I 'd want the first band to play more .,I would think that it is n't pleasant .,I would wish that I saw Cobra Starship instead of Panic At The Disco .,0
32204AGAADQTXYJPF2JA1PII4EKGH8##31UV0MXWNTRY0G3JUQO6MOOX6G55I5##A33PQXKQHFVF3V##Blog_90103##q1_a1##3W31J70BAUA7IC4SJ1QOOQDVY7KKC2,"But the thing is , I forgave and forgot a while ago . I ' m not bitter anymore . I just genuinely do n't want to go back to that church . I could n't get the balls to tell her that ...",Why would n't I have the balls to tell her that ?,I am not a man and I ca n't tell her those things to her face .,I am afraid of that church and I would feel less manly if I told her .,None of the above choices .,It is her favorite church and I do n't want to hurt her feelings .,3
3OJX0UFJ0Z54TL3UHX8Z0PXD1WD9UV##32SCWG5HII275HRUS7CVVTF0HAH6PI##A2CMYWI1J292YJ##Blog_1257072##q1_a1##39I4RL8QGLVDLIQ5K1H9S0LFE5XH40,"This July , a New York City police officer and a cyclist had an altercation of some sort . The cop claimed the man had been weaving in and out of traffic and tried to hit him with his bike , and arrested him for assault , resisting arrest , and disorderly conduct . The man said the cop had shoved him off his bike for no reason .",What kind of person is this New York City police officer ?,even tempered,polite and decent,aggressive and menacing,None of the above choices .,2
3OJX0UFJ0Z54TL3UHX8Z0PXD1WD9UV##32SCWG5HII275HRUS7CVVTF0HAH6PI##A2CMYWI1J292YJ##Blog_1257072##q2_a1##3KG2UQJ0ML2CKJZELWJZ0NJGW9OQN0,"This July , a New York City police officer and a cyclist had an altercation of some sort . The cop claimed the man had been weaving in and out of traffic and tried to hit him with his bike , and arrested him for assault , resisting arrest , and disorderly conduct . The man said the cop had shoved him off his bike for no reason .",What was this New York City police officer doing before the incident ?,He was walking or standing on street .,He was on a bicycle .,He was driving a car .,None of the above choices .,0
